# torsion=torsion-14
# dihedral_0based=4,7,10,13
# dihedral_1based=5,8,11,14
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000  0.192737  0.547887  0.324308
-164.347826  1.390369  1.765583  1.593953
-148.695652  2.653914  2.991016  2.963965
-133.043478  3.149639  3.479308  3.540849
-117.391304  2.487767  2.817211  2.841121
-101.739130  1.171355  1.364772  1.387070
-86.086957  0.097204  0.131544  0.173835
-70.434783 -0.000000  0.000001  0.000001
-54.782609  0.948543  1.101430  0.964931
-39.130435  2.525928  2.928090  2.660979
-23.478261  4.065606  4.600379  4.385548
-7.826087  4.722890  5.288772  5.149467
 7.826087  4.065756  4.600621  4.385694
 23.478261  2.867724  2.729205  2.995052
 39.130435  1.161157  0.824409  1.177287
 54.782609  0.000000  0.000000  0.000000
 70.434783  0.097205  0.131543  0.173837
 86.086957  1.171356  1.364772  1.387071
 101.739130  2.487771  2.817211  2.841125
 117.391304  3.149638  3.479308  3.540849
 133.043478  2.653915  2.991017  2.963966
 148.695652  1.390370  1.765582  1.593953
 164.347826  0.192788  0.547885  0.324359
 180.000000 -0.284281  0.061880 -0.177099
