# torsion=torsion-4
# dihedral_0based=11,10,9,4
# dihedral_1based=12,11,10,5
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000  4.288769  4.964309  5.365792
-164.347826  3.867151  4.762970  5.112434
-148.695652  3.902069  5.034614  5.237424
-133.043478  4.375836  5.621876  5.738291
-117.391304  4.890825  6.227077  6.249848
-101.739130  4.936309  6.481928  6.364945
-86.086957  4.104764  6.036135  5.748435
-70.434783  2.678041  4.860644  4.452898
-54.782609  1.169939  3.202708  2.825939
-39.130435  0.160900  1.541445  1.429709
-23.478261 -0.286908  0.384452  0.367016
-7.826087  0.000000  0.000000  0.000000
 7.826087 -0.275563  0.384134  0.373132
 23.478261  0.139789  1.541609  1.417870
 39.130435  1.155458  3.202920  2.820337
 54.782609  2.627167  4.859776  4.371853
 70.434783  4.109947  6.036297  5.753695
 86.086957  4.940417  6.482205  6.368006
 101.739130  4.892334  6.226266  6.249590
 117.391304  4.359861  5.621861  5.722636
 133.043478  3.899284  5.034625  5.234792
 148.695652  3.870791  4.763170  5.116751
 164.347826  4.275170  4.963628  5.357517
 180.000000  5.209417  5.605701  5.977304
