# torsion=torsion-7
# dihedral_0based=17,12,10,9
# dihedral_1based=18,13,11,10
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000 -0.351709  0.063671 -0.029234
-164.347826 -0.716445  0.555043  0.329888
-148.695652 -0.363832  1.609406  1.367263
-133.043478  0.646521  3.013536  2.714618
-117.391304  1.811933  4.203955  3.851884
-101.739130  2.289575  4.568766  4.341295
-86.086957  1.459180  3.958996  3.876528
-70.434783  0.020201  2.848750  2.749568
-54.782609 -0.936578  1.809121  1.702672
-39.130435 -0.997788  1.207521  1.133972
-23.478261 -0.456761  1.046059  1.008985
-7.826087 -0.072773  1.095962  1.022277
 7.826087 -0.478016  1.046619  1.020865
 23.478261 -0.997201  1.207356  1.137550
 39.130435 -0.937220  1.811158  1.691499
 54.782609  0.028351  2.849605  2.771995
 70.434783  1.464538  3.958991  3.878795
 86.086957  2.288165  4.568525  4.336652
 101.739130  1.831512  4.205550  3.860539
 117.391304  0.658254  3.013297  2.703988
 133.043478 -0.367224  1.609347  1.363766
 148.695652 -0.704472  0.555098  0.346911
 164.347826 -0.353167  0.064245 -0.034305
 180.000000  0.000000  0.000000  0.000000
