# torsion=torsion-3
# dihedral_0based=10,13,16,19
# dihedral_1based=11,14,17,20
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000  0.359342  1.247014  1.162665
-164.347826  1.710141  2.138999  2.225872
-148.695652  2.741608  2.851693  3.072357
-133.043478  2.788320  2.918361  2.949619
-117.391304  1.688834  2.284700  1.947521
-101.739130  1.585489  1.875047  1.584919
-86.086957  1.884825  1.516980  1.649546
-70.434783  1.379311  0.956161  0.793623
-54.782609  1.993547  1.263271  1.101873
-39.130435  3.457509  2.511130  2.589409
-23.478261  5.269736  4.072666  4.426993
-7.826087  6.426339  5.025558  5.296972
 7.826087  5.925248  4.419920  4.745372
 23.478261  4.420706  3.063355  3.348893
 39.130435  1.553298  1.252207  1.504994
 54.782609  0.000000  0.000000  0.000000
 70.434783  0.030914  0.285500  0.129320
 86.086957  1.504133  1.476956  1.577286
 101.739130  2.632752  2.585971  2.685934
 117.391304  3.111518  3.197577  3.243595
 133.043478  2.502109  2.888554  2.819543
 148.695652  1.183171  1.971497  1.782631
 164.347826  0.019258  1.140827  0.855761
 180.000000 -0.297451  0.846573  0.609251
