# torsion=torsion-7
# dihedral_0based=9,6,3,4
# dihedral_1based=10,7,4,5
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000  0.989877  1.762147  1.752694
-164.347826  0.750912  1.438954  1.223053
-148.695652  0.422698  1.052343  0.606894
-133.043478  0.126758  0.741282  0.133133
-117.391304 -0.072943  0.522646 -0.070181
-101.739130 -0.170248  0.451828  0.014585
-86.086957 -0.144897  0.572315  0.364550
-70.434783 -0.004456  0.869611  0.850776
-54.782609  0.188168  1.257465  1.237404
-39.130435  0.378698  1.666330  1.467568
-23.478261  0.533198  1.967939  1.607273
-7.826087  0.598199  2.067569  1.661521
 7.826087  0.532967  1.967917  1.607050
 23.478261  0.379043  1.666357  1.467912
 39.130435  0.185489  1.257421  1.234731
 54.782609 -0.003144  0.869659  0.852125
 70.434783 -0.142232  0.572415  0.367268
 86.086957  0.194910  0.226374  0.376409
 101.739130  0.000000  0.000000  0.000000
 117.391304  0.112612  0.191319  0.121053
 133.043478  0.458538  0.609733  0.642341
 148.695652  0.933615  1.168403  1.393394
 164.347826  0.997166  1.762718  1.759969
 180.000000  1.074645  1.913535  1.971196
