# torsion=torsion-2
# dihedral_0based=3,4,9,10
# dihedral_1based=4,5,10,11
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000  0.647186  0.802227  0.866275
-164.347826 -0.107245  0.440084  0.377109
-148.695652 -0.306766  0.115965  0.103972
-133.043478  0.000000  0.000000  0.000000
-117.391304  0.463936  0.030813 -0.059871
-101.739130  0.659877  0.048882 -0.095308
-86.086957  0.371219  0.020235 -0.092617
-70.434783 -0.145786  0.006531 -0.046205
-54.782609 -0.395769  0.186252  0.075576
-39.130435 -0.046526  0.538620  0.412707
-23.478261  0.817721  0.840388  1.015225
-7.826087  1.536856  0.954509  1.526725
 7.826087  0.823620  0.840363  1.021904
 23.478261 -0.046694  0.538873  0.413002
 39.130435 -0.396477  0.186203  0.075958
 54.782609 -0.146987  0.006451 -0.046104
 70.434783  0.362993  0.020618 -0.090664
 86.086957  0.661843  0.045062 -0.097727
 101.739130  0.466212  0.030216 -0.063310
 117.391304  0.011097  0.001999  0.000944
 133.043478 -0.351000  0.113487  0.112712
 148.695652 -0.127736  0.439961  0.382010
 164.347826  0.601840  0.802683  0.852922
 180.000000  1.279553  0.948935  1.214071
