# torsion=torsion-0
# dihedral_0based=15,12,9,6
# dihedral_1based=16,13,10,7
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000 -1.062984  0.629164  0.240164
-164.347826  0.158870  1.588884  1.248657
-148.695652  1.646524  2.591729  2.423808
-133.043478  2.512651  3.016733  2.968457
-117.391304  2.247055  2.540361  2.464677
-101.739130  1.209291  1.452811  1.291874
-86.086957  0.318005  0.416609  0.336788
-70.434783  0.000000  0.000000  0.000000
-54.782609  0.863732  0.841097  0.870632
-39.130435  2.668052  2.632812  2.744794
-23.478261  4.574449  4.556068  4.674779
-7.826087  5.655665  5.601832  5.675646
 7.826087  5.207945  5.142641  5.193771
 23.478261  3.811502  3.768125  3.824223
 39.130435  2.417127  2.282391  2.460915
 54.782609  1.610633  1.301132  1.664707
 70.434783  1.365520  0.907813  1.400386
 86.086957  1.272087  0.897580  1.372536
 101.739130  1.472998  1.645576  1.718355
 117.391304  2.064591  2.430464  2.501688
 133.043478  1.744597  2.301335  2.495443
 148.695652  0.530616  1.503496  1.598161
 164.347826 -0.764057  0.636366  0.523851
 180.000000 -1.420183  0.270798 -0.047160
