# torsion=torsion-13
# dihedral_0based=3,2,10,13
# dihedral_1based=4,3,11,14
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000  1.276410  0.441365  0.770224
-164.347826  0.589627  0.512212  0.572964
-148.695652  0.109139  0.472878  0.534146
-133.043478 -0.344276  0.316534  0.281990
-117.391304 -0.385260  0.170457  0.215782
-101.739130 -0.463124  0.094080 -0.093851
-86.086957 -0.006556  0.000628 -0.006935
-70.434783  0.499716  0.061551  0.199893
-54.782609  0.766262  0.315578  0.452598
-39.130435  0.784548  0.671312  0.681486
-23.478261  0.736471  0.932101  0.847383
-7.826087  0.712846  1.037511  0.907183
 7.826087  0.736135  0.932408  0.847188
 23.478261  0.782868  0.671730  0.680049
 39.130435  0.765142  0.315324  0.451333
 54.782609  0.498407  0.061520  0.198602
 70.434783  0.000000  0.000000  0.000000
 86.086957 -0.463599  0.093489 -0.095161
 101.739130 -0.676744  0.275352 -0.069611
 117.391304 -0.548486  0.424981  0.079405
 133.043478 -0.100242  0.512714  0.310772
 148.695652  0.592463  0.511509  0.575359
 164.347826  1.276557  0.441401  0.770250
 180.000000  1.580805  0.387916  0.841894
