# torsion=torsion-16
# dihedral_0based=12,9,6,3
# dihedral_1based=13,10,7,4
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000  0.095292  0.861703  0.738851
-164.347826  1.255476  1.872175  1.815304
-148.695652  2.496563  2.959839  2.951198
-133.043478  3.038744  3.407460  3.404067
-117.391304  2.434237  2.844493  2.732422
-101.739130  1.217096  1.610585  1.438018
-86.086957  0.214331  0.491459  0.331109
-70.434783  0.000000  0.000000  0.000000
-54.782609  0.822891  0.552374  0.718462
-39.130435  2.386710  1.965583  2.208537
-23.478261  3.941094  3.439837  3.725104
-7.826087  4.627273  4.090827  4.401354
 7.826087  3.943062  3.438889  3.727045
 23.478261  2.384829  1.966349  2.206677
 39.130435  0.825145  0.551969  0.720671
 54.782609 -0.000716  0.000072 -0.000700
 70.434783  0.214529  0.491355  0.331305
 86.086957  1.217374  1.611238  1.438310
 101.739130  2.437731  2.843315  2.735897
 117.391304  3.032885  3.407634  3.398178
 133.043478  2.490015  2.957016  2.944604
 148.695652  1.257210  1.871605  1.817066
 164.347826  0.096335  0.861437  0.739903
 180.000000 -0.353072  0.496078  0.321542
