# torsion=torsion-9
# dihedral_0based=10,9,11,12
# dihedral_1based=11,10,12,13
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000  7.331998  6.227174  6.636354
-164.347826  6.222404  5.769405  6.149258
-148.695652  5.545068  5.786640  6.076858
-133.043478  5.306074  6.169882  6.305546
-117.391304  5.275146  6.679100  6.626288
-101.739130  5.076897  6.934809  6.746251
-86.086957  4.262077  6.521527  6.248345
-70.434783  2.817360  5.288427  4.922854
-54.782609  1.313624  3.514692  3.195818
-39.130435  0.269617  1.736055  1.565518
-23.478261 -0.204397  0.452056  0.304329
-7.826087  0.000000  0.000000  0.000000
 7.826087 -0.138703  0.450602  0.359724
 23.478261  0.248081  1.736330  1.541386
 39.130435  1.317302  3.514852  3.202166
 54.782609  2.826817  5.288454  4.933570
 70.434783  4.254054  6.521435  6.240723
 86.086957  5.067885  6.934579  6.738110
 101.739130  5.271898  6.678852  6.623227
 117.391304  5.310492  6.169807  6.309633
 133.043478  5.532510  5.786410  6.064284
 148.695652  6.221604  5.769385  6.148442
 164.347826  7.331062  6.227143  6.635414
 180.000000  8.807358  7.121181  7.629254
